CRM_TIP
 1.00004719  0.00094382
 0.99944803  0.00103720
 0.99765195  0.00131664
 0.99466311  0.00178010
 0.99048846  0.00242420
 0.98513772  0.00324425
 0.97862333  0.00423437
 0.97096047  0.00538751
 0.96216702  0.00669556
 0.95226352  0.00814948
 0.94127315  0.00973934
 0.92922167  0.01145450
 0.91613735  0.01328366
 0.90205097  0.01521503
 0.88699572  0.01723636
 0.87100712  0.01933509
 0.85412297  0.02149842
 0.83638325  0.02371336
 0.81783005  0.02596683
 0.79850746  0.02824570
 0.77846146  0.03053683
 0.75773986  0.03282709
 0.73639212  0.03510340
 0.71446930  0.03735274
 0.69202391  0.03956217
 0.66910981  0.04171884
 0.64578204  0.04381001
 0.62209674  0.04582305
 0.59811099  0.04774549
 0.57388269  0.04956503
 0.54947043  0.05126961
 0.52493332  0.05284746
 0.50033087  0.05428714
 0.47572284  0.05557768
 0.45116912  0.05670860
 0.42672954  0.05767009
 0.40246373  0.05845306
 0.37833234  0.05902497
 0.35448071  0.05934417
 0.33097955  0.05940682
 0.30788770  0.05921112
 0.28526308  0.05875710
 0.26316245  0.05804664
 0.24164130  0.05708353
 0.22075360  0.05587344
 0.20055171  0.05442391
 0.18108614  0.05274427
 0.16240543  0.05084555
 0.14455601  0.04874038
 0.12758202  0.04644280
 0.11152522  0.04396807
 0.09642485  0.04133247
 0.08231757  0.03855304
 0.06923733  0.03564731
 0.05721532  0.03263304
 0.04627991  0.02952788
 0.03645658  0.02634915
 0.02776795  0.02311346
 0.02023368  0.01983646
 0.01387049  0.01653259
 0.00869216  0.01321480
 0.00470954  0.00989433
 0.00193049  0.00658053
 0.00035997  0.00328070
 0.00000000  0.00000000
 0.00084457  -0.00319043
 0.00288478  -0.00622047
 0.00611395  -0.00908806
 0.01052255  -0.01179100
 0.01609826  -0.01432704
 0.02282599  -0.01669390
 0.03068798  -0.01888944
 0.03966388  -0.02091173
 0.04973080  -0.02275918
 0.06086341  -0.02443069
 0.07303406  -0.02592576
 0.08621281  -0.02724463
 0.10036762  -0.02838838
 0.11546433  -0.02935906
 0.13146685  -0.03015974
 0.14833721  -0.03079463
 0.16603561  -0.03126904
 0.18452058  -0.03158946
 0.20374899  -0.03176350
 0.22367617  -0.03179986
 0.24425596  -0.03170824
 0.26544081  -0.03149927
 0.28718183  -0.03118435
 0.30942886  -0.03077549
 0.33213060  -0.03028520
 0.35523462  -0.02972626
 0.37868748  -0.02911156
 0.40244595  -0.02845356
 0.42653999  -0.02772921
 0.45081374  -0.02692528
 0.47520948  -0.02605227
 0.49966913  -0.02512048
 0.52413436  -0.02413985
 0.54854671  -0.02311991
 0.57284778  -0.02206965
 0.59697933  -0.02099749
 0.62088344  -0.01991120
 0.64450264  -0.01881791
 0.66778005  -0.01772407
 0.69065952  -0.01663550
 0.71308580  -0.01555743
 0.73500462  -0.01449452
 0.75636289  -0.01345090
 0.77710877  -0.01243030
 0.79719184  -0.01143607
 0.81656323  -0.01047125
 0.83517570  -0.00953867
 0.85298381  -0.00864097
 0.86994401  -0.00778070
 0.88601473  -0.00696031
 0.90115656  -0.00618222
 0.91533226  -0.00544886
 0.92850694  -0.00476262
 0.94064811  -0.00412587
 0.95172577  -0.00354098
 0.96171251  -0.00301026
 0.97058360  -0.00253590
 0.97831701  -0.00212002
 0.98489353  -0.00176453
 0.99029682  -0.00147115
 0.99451340  -0.00124137
 0.99753278  -0.00107636
 0.99934742  -0.00097700
 0.99995281  -0.00094382
