CRM_YEHUDI
 1.00007683  0.00115244
 0.99947963  0.00126984
 0.99768937  0.00162117
 0.99471013  0.00220386
 0.99054865  0.00301362
 0.98521441  0.00404459
 0.97871954  0.00528931
 0.97107884  0.00673891
 0.96230979  0.00838317
 0.95243246  0.01021064
 0.94146953  0.01220882
 0.92944623  0.01436425
 0.91639033  0.01666266
 0.90233205  0.01908911
 0.88730404  0.02162813
 0.87134128  0.02426381
 0.85448107  0.02697993
 0.83676290  0.02976007
 0.81822838  0.03258766
 0.79892118  0.03544605
 0.77888689  0.03831861
 0.75817296  0.04118873
 0.73682858  0.04403988
 0.71490455  0.04685561
 0.69245319  0.04961960
 0.66952823  0.05231568
 0.64618464  0.05492781
 0.62247857  0.05744018
 0.59846715  0.05983717
 0.57420843  0.06210345
 0.54976119  0.06422401
 0.52518481  0.06618424
 0.50053917  0.06797001
 0.47588445  0.06956781
 0.45128100  0.07096478
 0.42678921  0.07214895
 0.40246933  0.07310927
 0.37822054  0.07380314
 0.35424338  0.07417569
 0.33061724  0.07422269
 0.30740267  0.07394263
 0.28465931  0.07333633
 0.26244566  0.07240698
 0.24081888  0.07116023
 0.21983456  0.06960407
 0.19954655  0.06774890
 0.18000673  0.06560733
 0.16126484  0.06319412
 0.14336833  0.06052600
 0.12636217  0.05762141
 0.11028871  0.05450031
 0.09518759  0.05118386
 0.08109560  0.04769413
 0.06804662  0.04405372
 0.05607154  0.04028544
 0.04519824  0.03641192
 0.03545153  0.03245524
 0.02685312  0.02843657
 0.01942168  0.02437578
 0.01317280  0.02029112
 0.00811901  0.01619895
 0.00426982  0.01211338
 0.00163173  0.00804611
 0.00020826  0.00400621
 0.00000000  0.00000000
 0.00099628  -0.00388585
 0.00318355  -0.00756603
 0.00655367  -0.01103835
 0.01109571  -0.01430055
 0.01679594  -0.01735038
 0.02363798  -0.02018569
 0.03160281  -0.02280454
 0.04066894  -0.02520534
 0.05081246  -0.02738698
 0.06200719  -0.02934898
 0.07422477  -0.03109165
 0.08743479  -0.03261624
 0.10160488  -0.03392507
 0.11670084  -0.03502162
 0.13268670  -0.03591066
 0.14952488  -0.03659833
 0.16717620  -0.03709211
 0.18559999  -0.03740093
 0.20475415  -0.03753502
 0.22459520  -0.03750596
 0.24507838  -0.03732651
 0.26615760  -0.03701050
 0.28778560  -0.03657266
 0.30991390  -0.03602846
 0.33249291  -0.03539387
 0.35547194  -0.03468514
 0.37879928  -0.03391860
 0.40244035  -0.03310994
 0.42648032  -0.03222777
 0.45070186  -0.03125369
 0.47504788  -0.03020060
 0.49946083  -0.02908112
 0.52388286  -0.02790742
 0.54825595  -0.02669107
 0.57252204  -0.02544295
 0.59662317  -0.02417318
 0.62050161  -0.02289105
 0.64410004  -0.02160501
 0.66736163  -0.02032264
 0.69023024  -0.01905071
 0.71265055  -0.01779520
 0.73456816  -0.01656137
 0.75592978  -0.01535381
 0.77668334  -0.01417656
 0.79677813  -0.01303320
 0.81616490  -0.01192688
 0.83479605  -0.01086049
 0.85262571  -0.00983668
 0.86960984  -0.00885795
 0.88570642  -0.00792672
 0.90087548  -0.00704537
 0.91507928  -0.00621626
 0.92828238  -0.00544174
 0.94045174  -0.00472420
 0.95155683  -0.00406598
 0.96156974  -0.00346942
 0.97046522  -0.00293677
 0.97822080  -0.00247017
 0.98481684  -0.00207162
 0.99023663  -0.00174290
 0.99446638  -0.00148554
 0.99749536  -0.00130080
 0.99931583  -0.00118958
 0.99992317  -0.00115244
